run_id,level,entity_key,epic_key,parent_key,children_count,total_time_bh_hours,total_time_24x7_hours,total_status_entries
3,parent,,,MEDA-2825,4,25608.24,107431.37,26
3,parent,,,MEDA-2586,1,6287.92,26399.92,4
3,parent,,,MEDA-2826,5,32229.98,135253.18,29
3,parent,,,MEDA-2821,2,12663.43,53120.99,15
3,parent,,,MEDA-2819,25,158992.31,667085.02,153
3,parent,,,MEDA-2444,2,12643.95,53042.8,7
3,parent,,,MEDA-2823,1,6319.13,26479.13,5
3,parent,,,DAP-192,2,12847.7,53883.83,11
3,parent,,,MEDA-5,17,114332.99,479524.64,114
3,parent,,,MEDA-2822,1,5992.77,25128.77,2
3,parent,,,MEDA-2753,3,19320.19,81064.19,14
3,parent,,,MEDA-2820,4,25419.21,106667.21,24
3,parent,,,MEDA-72,7,46675.42,195922.99,42
3,parent,,,MEDA-2824,3,18102.29,75926.3,8
3,parent,,,MEDA-1007,1,6707.55,28131.55,5
3,parent,,,MEDA-2414,1,6711.85,28149.66,5
3,parent,,,MEDA-2408,2,13420.61,56283.23,10
3,parent,,,MEDA-574,1,6711.85,28150.67,5
3,parent,,,MEDA-538,1,6711.85,28150.77,5
3,parent,,,MEDA-149,8,53958.63,226422.63,48
3,parent,,,MEDA-2363,1,6716.16,28156.16,5
3,parent,,,MEDA-2357,1,4916.64,20596.64,5
3,parent,,,MEDA-2351,1,4916.64,20596.64,5
3,parent,,,MEDA-2345,1,4916.64,20596.64,5
3,parent,,,MEDA-2339,1,4916.63,20596.63,5
3,parent,,,MEDA-2333,1,4916.62,20596.62,5
3,parent,,,MEDA-2327,1,6687.85,28075.62,5
3,parent,,,MEDA-2321,1,6687.85,28075.59,5
3,parent,,,MEDA-2315,1,6687.85,28075.58,5
3,parent,,,MEDA-2309,1,6719.85,28219.77,5
3,parent,,,MEDA-2303,1,6719.85,28220.17,5
3,parent,,,MEDA-2297,1,6735.85,28271.55,5
3,parent,,,MEDA-2291,1,4916.63,20596.63,5
3,parent,,,MEDA-2285,2,11604.48,48672.43,10
3,parent,,,MEDA-2279,1,6687.85,28077.35,5
3,parent,,,MEDA-2249,1,4916.64,20596.64,5
3,parent,,,MEDA-2243,3,20144.59,84487.85,15
3,parent,,,MEDA-2237,1,6687.85,28078.92,5
3,parent,,,MEDA-2231,1,4916.61,20596.61,5
3,parent,,,MEDA-2225,2,11605.34,48677.34,10
3,parent,,,MEDA-2219,1,6687.85,28075.24,5
3,parent,,,MEDA-2213,1,6687.85,28075.25,5
3,parent,,,MEDA-2207,1,6687.85,28075.27,5
3,parent,,,MEDA-2201,2,11604.47,48672.52,10
3,parent,,,MEDA-2195,1,4916.62,20596.62,5
3,parent,,,MEDA-2189,2,11604.45,48672.62,10
3,parent,,,MEDA-2183,2,13446.03,56392.1,10
3,parent,,,MEDA-2171,2,11612.46,48698.12,10
3,parent,,,MEDA-2165,2,11614.05,48702.05,10
3,parent,,,MEDA-2159,1,4917.44,20597.44,5
3,parent,,,MEDA-2153,2,11612.45,48698.09,10
3,parent,,,MEDA-2147,2,11612.46,48698.08,10
3,parent,,,MEDA-2141,2,11615.23,48703.24,10
3,parent,,,MEDA-2135,1,4916.58,20596.58,5
3,parent,,,MEDA-2123,2,13432.44,56334.95,10
3,parent,,,MEDA-2117,2,13432.56,56373.29,10
3,parent,,,MEDA-2111,2,11614.55,48702.55,10
3,parent,,,MEDA-2105,2,11614.71,48702.71,10
3,parent,,,MEDA-2099,2,11614.79,48702.79,10
3,parent,,,MEDA-2093,2,11614.93,48702.93,10
3,parent,,,MEDA-2087,2,11615.01,48703.01,10
3,parent,,,MEDA-2081,1,6711.85,28150.03,5
3,parent,,,MEDA-2075,1,6698.87,28106.87,5
3,parent,,,MEDA-2069,1,6698.98,28106.98,5
3,parent,,,MEDA-2063,2,11600.12,48656.12,10
3,parent,,,MEDA-2057,2,11613.06,48701.06,10
3,parent,,,MEDA-2051,1,6719.85,28205.72,5
3,parent,,,MEDA-2045,2,11613.08,48701.08,10
3,parent,,,MEDA-2039,2,11613.11,48701.11,10
3,parent,,,MEDA-2033,2,11617.43,48705.44,10
3,parent,,,MEDA-2027,2,13432.23,56332.75,10
3,parent,,,MEDA-2021,2,11618.64,48706.64,10
3,parent,,,MEDA-2015,2,11618.62,48706.62,10
3,parent,,,MEDA-2009,2,11600.03,48656.03,10
3,parent,,,MEDA-2003,2,13432.54,56375.1,10
3,parent,,,MEDA-1997,2,13440.38,56384.38,10
3,parent,,,MEDA-1991,1,6743.85,28290.8,5
3,parent,,,MEDA-1913,2,11616.21,48704.21,10
3,parent,,,MEDA-1907,2,11616.97,48704.97,10
3,parent,,,MEDA-1901,2,11617.49,48705.49,10
3,parent,,,MEDA-1895,1,6701.23,28109.23,5
3,parent,,,MEDA-1889,2,11618.07,48706.07,10
3,parent,,,MEDA-1883,2,11618.29,48706.29,10
3,parent,,,MEDA-1877,2,11618.66,48706.66,10
3,parent,,,MEDA-1871,2,11612.36,48698.06,10
3,parent,,,MEDA-1865,2,13408.05,56240.05,10
3,parent,,,MEDA-1859,2,11620.38,48710.72,10
3,parent,,,MEDA-1853,2,13424.89,56304.89,10
3,parent,,,MEDA-1847,1,6719.85,28180.47,5
3,parent,,,MEDA-1841,2,11599.76,48655.76,10
3,parent,,,MEDA-1835,2,11599.72,48655.72,10
3,parent,,,MEDA-1826,2,13432.53,56376.2,10
3,parent,,,MEDA-1770,2,11599.66,48655.66,10
3,parent,,,MEDA-1764,2,11620.36,48708.85,10
3,parent,,,MEDA-1758,2,13432.32,56332.98,10
3,parent,,,MEDA-1752,2,11620.35,48708.97,10
3,parent,,,MEDA-1746,2,13432.33,56333.02,10
3,parent,,,MEDA-1740,2,11620.35,48719.52,10
3,parent,,,MEDA-1734,2,11599.6,48655.6,10
3,parent,,,MEDA-1728,2,13432.35,56333.1,10
3,parent,,,MEDA-1722,2,13432.37,56333.15,10
3,parent,,,MEDA-1704,2,13432.51,56376.34,10
3,parent,,,MEDA-1698,1,6743.85,28292.26,5
3,parent,,,MEDA-1686,2,13432.65,56376.65,10
3,parent,,,MEDA-1680,2,11641.46,48825.46,10
3,parent,,,MEDA-1668,2,11636.33,48777.47,10
3,parent,,,MEDA-1644,2,13399.7,56217.14,10
3,parent,,,MEDA-1632,2,11620.32,48710.42,10
3,parent,,,MEDA-1626,2,13399.7,56217.23,10
3,parent,,,MEDA-1620,2,13399.7,56217.29,10
3,parent,,,MEDA-1614,2,11620.33,48710.52,10
3,parent,,,MEDA-1608,1,6695.85,28102.8,5
3,parent,,,MEDA-1602,2,13401.05,56218.52,10
3,parent,,,MEDA-1596,1,6695.85,28102.78,5
3,parent,,,MEDA-1590,2,13401.06,56218.47,10
3,parent,,,MEDA-1584,1,6695.85,28102.82,5
3,parent,,,MEDA-1578,2,13401.04,56218.41,10
3,parent,,,MEDA-1572,1,6695.85,28102.76,5
3,parent,,,MEDA-1566,1,6703.85,28114.1,5
3,parent,,,MEDA-1560,2,13399.7,56217.69,10
3,parent,,,MEDA-1554,2,13427.19,56339.19,10
3,parent,,,MEDA-1542,1,6725.2,28229.2,5
3,parent,,,MEDA-1536,1,6745.62,28297.62,5
3,parent,,,MEDA-1524,2,13399.7,56228.68,10
3,parent,,,MEDA-1518,2,13399.7,56228.74,10
3,parent,,,MEDA-1512,2,13399.7,56229.08,10
3,parent,,,MEDA-1506,2,13404.66,56234.74,10
3,parent,,,MEDA-1500,2,13404.92,56235.25,10
3,parent,,,MEDA-1494,2,13405.18,56237.12,10
3,parent,,,MEDA-1488,2,13405.15,56236.05,10
3,parent,,,MEDA-1482,2,13406.38,56238.39,10
3,parent,,,MEDA-1476,1,6705.22,28129.22,5
3,parent,,,MEDA-1470,2,13411.94,56259.94,10
3,parent,,,MEDA-1464,2,13421.79,56270.36,10
3,parent,,,MEDA-1458,2,13407.35,56239.35,10
3,parent,,,MEDA-1452,1,6687.85,28075.14,5
3,parent,,,MEDA-1446,1,6687.85,28075.12,5
3,parent,,,MEDA-1440,1,6687.85,28075.1,5
3,parent,,,MEDA-1434,2,13432.07,56312.38,10
3,parent,,,MEDA-1428,1,6719.85,28160.19,5
3,parent,,,MEDA-1422,1,6719.85,28160.21,5
3,parent,,,MEDA-1416,1,6687.85,28075.07,5
3,parent,,,MEDA-1404,1,6701.39,28109.39,5
3,parent,,,MEDA-1398,1,6701.36,28109.36,5
3,parent,,,MEDA-1392,1,6701.34,28109.34,5
3,parent,,,MEDA-1386,1,6711.85,28147.24,10
3,parent,,,MEDA-1380,1,6708.24,28132.24,5
3,parent,,,MEDA-1374,1,6711.85,28147.5,5
3,parent,,,MEDA-1368,1,6719.85,28160.24,5
3,parent,,,MEDA-1362,1,6711.85,28147.92,5
3,parent,,,MEDA-1356,1,6719.85,28160.27,5
3,parent,,,MEDA-1350,1,6711.85,28148.1,5
3,parent,,,MEDA-1344,1,6719.85,28160.3,5
3,parent,,,MEDA-1338,1,6711.85,28148.24,5
3,parent,,,MEDA-1332,1,6719.85,28160.31,5
3,parent,,,MEDA-1320,1,6719.85,28160.35,5
3,parent,,,MEDA-1314,2,13432.06,56312.3,10
3,parent,,,MEDA-1308,1,6711.85,28150.81,5
3,parent,,,MEDA-1302,1,6687.85,28075.0,5
3,parent,,,MEDA-1296,1,6726.82,28230.82,5
3,parent,,,MEDA-1290,2,13407.41,56239.41,10
3,parent,,,MEDA-1283,2,13437.05,56378.4,10
3,parent,,,MEDA-1277,2,13437.0,56378.45,10
3,parent,,,MEDA-1271,1,6743.85,28292.7,5
3,parent,,,MEDA-1265,1,6706.25,28130.25,5
3,parent,,,MEDA-1259,1,6719.85,28184.41,5
3,parent,,,MEDA-1252,1,6719.85,28184.31,5
3,parent,,,MEDA-1246,1,6719.85,28184.15,5
3,parent,,,MEDA-1240,1,6719.85,28184.1,5
3,parent,,,MEDA-1234,1,6719.85,28184.08,5
3,parent,,,MEDA-1228,2,11644.71,48844.71,10
3,parent,,,MEDA-1222,2,13409.38,56241.38,10
3,parent,,,MEDA-1216,1,6719.85,28183.96,5
3,parent,,,MEDA-1208,1,6719.85,28184.02,5
3,parent,,,MEDA-1202,2,13429.26,56357.27,10
3,parent,,,MEDA-1196,2,13411.35,56259.35,10
3,parent,,,MEDA-1190,1,6719.85,28183.91,5
3,parent,,,MEDA-1184,1,6706.39,28130.39,5
3,parent,,,MEDA-1178,1,6706.41,28130.41,5
3,parent,,,MEDA-1172,1,6706.43,28130.43,5
3,parent,,,MEDA-1166,1,6706.44,28130.44,5
3,parent,,,MEDA-1160,1,6706.45,28130.45,5
3,parent,,,MEDA-1154,1,6706.46,28130.46,5
3,parent,,,MEDA-1148,1,6706.47,28130.47,5
3,parent,,,MEDA-1142,1,6706.48,28130.48,5
3,parent,,,MEDA-1136,2,13433.58,56377.58,10
3,parent,,,MEDA-1130,2,13407.88,56239.88,10
3,parent,,,MEDA-1124,1,6706.94,28130.94,5
3,parent,,,MEDA-1118,1,6706.95,28130.95,5
3,parent,,,MEDA-1112,1,6706.96,28130.96,5
3,parent,,,MEDA-1106,2,13451.52,56427.52,10
3,parent,,,MEDA-1100,1,6707.15,28131.15,5
3,parent,,,MEDA-1094,1,6707.17,28131.17,5
3,parent,,,MEDA-1088,1,6707.22,28131.22,5
3,parent,,,MEDA-1082,2,13411.93,56259.93,10
3,parent,,,MEDA-1076,2,13408.33,56240.33,10
3,parent,,,MEDA-1070,1,6682.27,28058.27,5
3,parent,,,MEDA-1055,2,13408.47,56240.47,10
3,parent,,,MEDA-1049,1,6707.48,28131.48,5
3,parent,,,MEDA-1043,2,13447.71,56407.72,10
3,parent,,,MEDA-1019,2,13403.41,56235.41,10
3,parent,,,MEDA-2582,1,6707.5,28131.51,5
3,parent,,,MEDA-1013,2,13408.5,56240.5,10
3,parent,,,MEDA-1001,1,6729.89,28249.89,5
3,parent,,,MEDA-995,2,11598.67,48654.67,10
3,parent,,,MEDA-989,1,6735.85,28256.81,5
3,parent,,,MEDA-983,1,6711.85,28149.43,5
3,parent,,,MEDA-977,1,6711.85,28149.45,5
3,parent,,,MEDA-971,1,6711.85,28149.46,5
3,parent,,,MEDA-965,1,6711.85,28149.48,5
3,parent,,,MEDA-959,1,6711.85,28149.49,5
3,parent,,,MEDA-953,1,6711.85,28149.51,5
3,parent,,,MEDA-947,1,6711.85,28149.54,5
3,parent,,,MEDA-941,1,6711.85,28149.55,5
3,parent,,,MEDA-935,1,6711.85,28149.56,5
3,parent,,,MEDA-929,1,6711.85,28149.57,5
3,parent,,,MEDA-923,2,13442.65,56402.66,10
3,parent,,,MEDA-917,2,13408.28,56254.03,10
3,parent,,,MEDA-911,1,6711.85,28149.61,5
3,parent,,,MEDA-905,1,6735.85,28257.26,5
3,parent,,,MEDA-899,1,6711.85,28149.62,5
3,parent,,,MEDA-893,1,6711.85,28149.64,5
3,parent,,,MEDA-887,1,6711.85,28149.71,5
3,parent,,,MEDA-881,1,6711.85,28149.72,5
3,parent,,,MEDA-875,1,6711.85,28149.73,5
3,parent,,,MEDA-869,1,6711.85,28149.75,5
3,parent,,,MEDA-863,1,6711.85,28149.76,5
3,parent,,,MEDA-857,1,6711.85,28149.77,5
3,parent,,,MEDA-851,1,6711.85,28149.78,5
3,parent,,,MEDA-845,1,6711.85,28149.79,5
3,parent,,,MEDA-839,2,13408.54,56254.49,10
3,parent,,,MEDA-833,1,6711.85,28149.81,5
3,parent,,,MEDA-827,2,11663.03,48895.03,10
3,parent,,,MEDA-821,2,13408.66,56254.66,10
3,parent,,,MEDA-815,1,6711.85,28149.86,5
3,parent,,,MEDA-809,2,13419.1,56281.13,10
3,parent,,,MEDA-803,2,13419.17,56281.22,10
3,parent,,,MEDA-797,1,6711.85,28149.91,5
3,parent,,,MEDA-791,1,6711.85,28149.92,5
3,parent,,,MEDA-785,1,6711.85,28149.93,5
3,parent,,,MEDA-779,1,6711.85,28149.95,5
3,parent,,,MEDA-773,1,6711.85,28149.96,5
3,parent,,,MEDA-767,1,6711.85,28149.98,5
3,parent,,,MEDA-761,1,6711.85,28150.93,5
3,parent,,,MEDA-755,2,13420.35,56282.56,10
3,parent,,,MEDA-749,1,6711.85,28150.08,5
3,parent,,,MEDA-743,1,6711.85,28150.09,5
3,parent,,,MEDA-737,1,6711.85,28150.12,5
3,parent,,,MEDA-731,1,6711.85,28150.14,5
3,parent,,,MEDA-725,1,6711.85,28150.17,5
3,parent,,,MEDA-719,1,6711.85,28150.18,5
3,parent,,,MEDA-713,1,6711.85,28150.19,5
3,parent,,,MEDA-707,1,6711.85,28150.2,5
3,parent,,,MEDA-701,1,6711.85,28150.21,5
3,parent,,,MEDA-695,2,13408.81,56255.21,10
3,parent,,,MEDA-688,1,6711.85,28150.27,5
3,parent,,,MEDA-682,1,6708.84,28132.84,5
3,parent,,,MEDA-676,4,26888.44,112776.44,20
3,parent,,,MEDA-664,1,6735.19,28255.19,5
3,parent,,,MEDA-658,2,13444.27,56388.27,10
3,parent,,,MEDA-652,2,13420.88,56283.38,10
3,parent,,,MEDA-646,2,13408.83,56255.35,10
3,parent,,,MEDA-640,1,6735.85,28255.95,5
3,parent,,,MEDA-634,1,6735.23,28255.23,5
3,parent,,,MEDA-628,1,6735.25,28255.25,5
3,parent,,,MEDA-622,1,6735.26,28255.26,5
3,parent,,,MEDA-616,1,6735.61,28255.61,5
3,parent,,,MEDA-610,1,6735.64,28255.64,5
3,parent,,,MEDA-604,1,6735.66,28255.66,5
3,parent,,,MEDA-598,1,6735.67,28255.67,5
3,parent,,,MEDA-592,2,11663.06,48895.06,10
3,parent,,,MEDA-586,2,13420.41,56283.21,10
3,parent,,,MEDA-580,1,6735.68,28255.68,5
3,parent,,,MEDA-568,1,6735.72,28255.72,5
3,parent,,,MEDA-562,1,6735.85,28255.93,5
3,parent,,,MEDA-556,1,6735.84,28255.84,5
3,parent,,,MEDA-550,1,6735.85,28255.85,5
3,parent,,,MEDA-544,1,6735.85,28255.86,5
3,parent,,,MEDA-532,1,6711.85,28150.8,5
3,parent,,,MEDA-526,1,6735.85,28255.9,5
3,parent,,,MEDA-520,1,6735.85,28255.97,5
3,parent,,,MEDA-514,1,6735.85,28256.06,5
3,parent,,,MEDA-508,1,6735.85,28256.16,5
3,parent,,,MEDA-502,1,6735.85,28256.17,5
3,parent,,,MEDA-496,1,6735.85,28256.42,5
3,parent,,,MEDA-490,1,6735.85,28256.19,5
3,parent,,,MEDA-484,1,6735.85,28256.2,5
3,parent,,,MEDA-478,1,6735.85,28256.26,5
3,parent,,,MEDA-472,1,6735.85,28256.35,5
3,parent,,,MEDA-466,1,6735.85,28256.53,5
3,parent,,,MEDA-460,1,6735.85,28256.54,5
3,parent,,,MEDA-454,1,6735.85,28256.56,5
3,parent,,,MEDA-448,1,6735.85,28256.57,5
3,parent,,,MEDA-442,1,6735.85,28257.39,5
3,parent,,,MEDA-436,1,6735.85,28257.42,5
3,parent,,,MEDA-430,1,6735.85,28257.44,5
3,parent,,,MEDA-424,1,6735.85,28257.46,5
3,parent,,,MEDA-418,1,6735.85,28257.5,5
3,parent,,,MEDA-412,1,6735.85,28257.53,5
3,parent,,,MEDA-406,1,6735.85,28257.56,5
3,parent,,,MEDA-400,1,6735.85,28257.6,5
3,parent,,,MEDA-394,2,13456.48,56494.18,10
3,parent,,,MEDA-388,1,6735.85,28257.63,5
3,parent,,,MEDA-382,2,13419.15,56283.05,10
3,parent,,,MEDA-376,2,11652.31,48866.07,10
3,parent,,,MEDA-370,1,6735.85,28257.65,5
3,parent,,,MEDA-364,1,6735.85,28257.7,5
3,parent,,,MEDA-358,1,6735.85,28257.76,5
3,parent,,,MEDA-352,1,6735.85,28257.77,5
3,parent,,,MEDA-346,1,6735.85,28257.8,5
3,parent,,,MEDA-340,2,13423.7,56303.6,10
3,parent,,,MEDA-334,2,13413.58,56261.58,10
3,parent,,,MEDA-328,1,6735.85,28257.85,5
3,parent,,,MEDA-322,1,6746.64,28298.64,5
3,parent,,,MEDA-316,1,6711.86,28151.87,5
3,parent,,,MEDA-310,2,13423.75,56303.72,10
3,parent,,,MEDA-304,1,6735.85,28258.43,4
3,parent,,,MEDA-298,1,6735.85,28258.46,4
3,parent,,,MEDA-292,1,6711.9,28151.9,5
3,parent,,,MEDA-286,1,6712.01,28152.01,5
3,parent,,,MEDA-280,1,6712.08,28152.08,4
3,parent,,,MEDA-274,1,6743.85,28293.68,4
3,parent,,,MEDA-268,1,6743.85,28293.85,4
3,parent,,,MEDA-262,1,6663.85,27956.34,5
3,parent,,,MEDA-209,1,6743.85,28293.94,5
3,parent,,,MEDA-211,1,6740.44,28276.44,5
3,parent,,,MEDA-239,1,6743.85,28293.91,9
3,parent,,,MEDA-208,2,13444.28,56404.28,10
3,parent,,,MEDA-67,4,26766.73,112286.34,24
3,parent,,,MEDA-177,4,26950.05,113078.05,24
